day,death,deathIncrease,negative,negativeIncrease,positive,positiveIncrease,totalTestResults,totalTestResultsIncrease
1,0,0,0,0,1,1,0,0
2,0,0,0,0,1,0,0,0
3,0,0,0,0,2,1,0,0
4,0,0,0,0,2,0,1,1
5,0,0,0,0,2,0,2,1
6,0,0,0,0,2,0,2,0
7,0,0,0,0,2,0,2,0
8,0,0,0,0,2,0,2,0
9,0,0,0,0,2,0,3,1
10,0,0,0,0,2,0,3,0
11,0,0,0,0,2,0,5,2
12,0,0,0,0,2,0,5,0
13,0,0,0,0,2,0,8,3
14,0,0,0,0,2,0,8,0
15,0,0,0,0,2,0,8,0
16,0,0,0,0,3,1,11,3
17,0,0,0,0,3,0,15,4
18,0,0,0,0,3,0,15,0
19,0,0,0,0,5,2,16,1
20,0,0,0,0,5,0,16,0
21,0,0,0,0,5,0,18,2
22,0,0,0,0,5,0,18,0
23,0,0,0,0,5,0,19,1
24,0,0,0,0,5,0,20,1
25,0,0,0,0,5,0,21,1
26,0,0,0,0,6,1,22,1
27,0,0,0,0,7,1,22,0
28,0,0,0,0,7,0,26,4
29,0,0,0,0,7,0,28,2
30,0,0,0,0,7,0,29,1
31,0,0,0,0,7,0,29,0
32,0,0,0,0,7,0,35,6
33,0,0,0,0,7,0,36,1
34,0,0,0,0,7,0,37,1
35,0,0,0,0,7,0,38,1
36,0,0,0,0,8,1,38,0
37,0,0,0,0,9,1,40,2
38,0,0,0,0,10,1,41,1
39,2,2,0,0,12,2,41,0
40,2,0,0,0,13,1,6487,6446
41,4,2,0,0,15,2,6490,3
42,5,1,0,0,18,3,6555,65
43,8,3,2,2,42,24,6651,96
44,11,3,3,1,72,30,6854,203
45,14,3,5,2,114,42,7133,279
46,16,2,581,576,240,126,8023,890
47,20,4,713,132,305,65,9538,1515
48,26,6,874,161,437,132,11715,2177
49,27,1,1148,274,574,137,12646,931
50,31,4,1344,196,744,170,13776,1130
51,35,4,1786,442,1020,276,15831,2055
52,37,2,2280,494,1405,385,19153,3322
53,43,6,3301,1021,1823,418,23600,4447
54,52,9,4292,991,2505,682,30283,6683
55,57,5,5441,1149,3350,845,40016,9733
56,65,8,7057,1616,4376,1026,49832,9816
57,80,15,9628,2571,5664,1288,60034,10202
58,102,22,21090,11462,7377,1713,82988,22954
59,124,22,26117,5027,9464,2087,109756,26768
60,152,28,31569,5452,12816,3352,141883,32127
61,203,51,39928,8359,17427,4611,181094,39211
62,273,70,51632,11704,23522,6095,230601,49507
63,335,62,67635,16003,30462,6940,282802,52201
64,480,145,80062,12427,39691,9229,334971,52169
65,581,101,101385,21323,50873,11182,392282,57311
66,817,236,134502,33117,61756,10883,478893,86611
67,1058,241,167771,33269,74392,12636,561394,82501
68,1371,313,210381,42610,91996,17604,667948,106554
69,1781,410,255660,45279,111219,19223,769323,101375
70,2332,551,323526,67866,130999,19780,880938,111615
71,2837,505,365756,42230,150680,19681,968389,87451
72,3422,585,416393,50637,171867,21187,1068981,100592
73,4330,908,460477,44084,196814,24947,1183548,114567
74,5336,1006,505315,44838,223071,26257,1306569,123021
75,6511,1175,556316,51001,251142,28071,1437235,130666
76,7798,1287,611183,54867,282980,31838,1579586,142351
77,9276,1478,754654,143471,316082,33102,1810758,231172
